Metric,Value
ROC AUC,0.8902
PR AUC,0.6536
Precision @ 1%,0.5299
Precision @ 5%,0.1191
Precision @ 10%,0.0615
Baseline Rate,0.007969
Lift @ 1%,66.49
Lift @ 5%,14.95
Lift @ 10%,7.71
