feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_wdpa,0.9652856888874645,0.045060708265847495,63.61
policy_b4,0.6104929569249511,-0.5656803297878598,12.6
economic_value_lag1,0.5701971551475626,-0.4069331886810196,24.88
GSN_b3_smooth16,0.5235922407015209,-0.02638328534482215,66.86999999999999
elevation_b2_smooth64,0.48044959631118456,-0.008702572893144205,39.28
dist_indigenous,0.4022152313572355,-0.02601821253387646,69.17
GSN_b3_smooth64,0.3907118665509213,-0.030588334905740828,72.8
dist_oil_gas,0.3642492677993764,0.028260581416387414,69.39
GSN_b5_smooth64,0.33009292856262135,0.03239272120747655,65.07
elevation_b1,0.30949666440760665,0.19490268254005927,74.42999999999999
dist_road,0.3001539270497305,0.031502669645421914,66.44
GSN_b1_smooth64,0.29624145712951316,-0.004137446135407115,73.67
WorldClim_b3,0.2961195404514228,0.09298709385418319,68.27
policy_b1,0.2819534417373361,0.2778873331750257,97.78
GSN_b4_smooth64,0.2734658308958375,0.013305435596159088,62.35000000000001
GPW,0.26863371758960297,-0.035069725751009556,63.42
NDVI,0.26659023983592317,-0.0035540076921061177,63.04
deforestation_b1_smooth64,0.2471705193333471,-0.12557315203140448,53.349999999999994
WorldClim_b4,0.22870776350419733,-0.04186659267385862,45.839999999999996
dist_powerplant,0.22683692329021105,-0.022005860924395007,69.64
