Metric,Value
ROC AUC,0.9268
PR AUC,0.6337
Precision @ 1%,0.5386
Precision @ 5%,0.1214
Precision @ 10%,0.0643
Recall @ 1%,0.6759
Recall @ 5%,0.7616
Recall @ 10%,0.8071
Baseline Rate,0.007969
Lift @ 1%,67.59
Lift @ 5%,15.23
Lift @ 10%,8.07
Brier Score,0.004582
ECE (Expected Calibration Error),0.0109
MCE (Maximum Calibration Error),0.2144
Brier Score (Uncalibrated),0.004744
Brier Score (Calibrated),0.004582
Future Capture Rate (%),17.21
Combined Recall (%),67.99
