feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_road,0.042889877817396595,-0.018021727048817368,19.6
GPW,0.042113358930396964,-0.024961778579364276,14.399999999999999
GPW_smooth16,0.0353165053357924,-0.0231712955797356,12.2
landcover,0.03473826967743383,-0.015680936427808868,24.6
WorldClim_b14,0.03366521480464404,-0.0201756750511151,24.8
economic_value_lag1,0.033146802379623745,-0.01275270899068958,41.0
HNTL_smooth64,0.027495753827451175,-0.02271732411737834,11.200000000000001
GPW_smooth64,0.027401518850849235,-0.01795373613107309,12.6
GSN_b2_smooth16,0.027018820870781342,-0.017725751020426395,56.8
WorldClim_b11,0.024364172897819735,-0.013164620604895393,32.4
dist_indigenous,0.02400997120793533,-0.013242434266416952,12.8
GSN_b2,0.023360464370542434,-0.01361340961498551,63.4
WorldClim_b4,0.020245505458770605,-0.012489638695589765,24.4
GSN_b2_smooth64,0.017572575579375405,-0.013125707652924699,37.2
GSN_b4_smooth64,0.01670556588843376,-0.011850435137282306,32.6
policy_b2,0.016038686429189288,-0.013926610805259839,20.8
elevation_b2_smooth64,0.014967788438259053,-0.008593135657106857,14.2
elevation_b2_smooth16,0.014927169543829642,-0.004716633053407186,18.8
WorldClim_b17,0.014875902441659,-0.009504059969380278,34.4
WorldClim_b8,0.014515071337713908,-0.011107747506123332,22.400000000000002
