BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,PR_AUC,Precision_at_1pct,Lift_at_1pct
"Mediterranean Forests, Woodlands & Scrub",1,598143,2381,0.3981,0.5551,0.1724,0.0841,21.13
Tropical & Subtropical Moist Broadleaf Forests,41,16852053,150459,0.8928,0.7932,0.2059,0.3509,39.31
Mangroves,3,96634,1869,1.9341,0.9696,0.3291,0.1449,7.49
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,11868861,16752,0.1411,0.8344,0.4723,0.0865,61.28
Deserts & Xeric Shrublands,3,1197205,1642,0.1372,0.987,0.5013,0.1325,96.59
Tropical & Subtropical Dry Broadleaf Forests,10,4147799,20948,0.505,0.9584,0.6347,0.3896,77.14
Montane Grasslands & Shrublands,7,2571166,36436,1.4171,0.8987,0.6875,0.8648,61.03
Flooded Grasslands & Savannas,1,694428,486,0.07,0.8449,0.7468,0.0527,75.31
Temperate Broadleaf & Mixed Forests,2,1507741,117685,7.8054,0.9713,0.8649,0.9985,12.79
"Temperate Grasslands, Savannas & Shrublands",3,7860915,6895,0.0877,0.9996,0.9018,0.0876,99.91
N/A,1,3609,2040,56.5254,0.9238,0.9538,1.0,1.77
