zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),142905157,27.046,2.068,7.413
Top 10% risk,14290522,85.727,2.473,11.242
Top 5% risk,7145266,94.225,2.224,12.966
Top 1% risk,1429053,34.775,0.522,7.281
