Country,n_pixels,n_observed_PAs,ROC_AUC,Precision_at_1pct
Chile,2856487,144378,0.948,0.9988
Brazil,19227360,132474,0.6922,0.2338
Argentina,11644617,29012,0.9969,0.2463
Peru,3309268,27165,0.984,0.4929
Colombia,2909828,26999,0.9477,0.5354
Unknown,232946,12904,0.9849,0.9991
Ecuador,600396,3350,0.9486,0.1941
Paraguay,1203167,2860,0.8711,0.0256
Uruguay,694443,712,0.9995,0.1025
Bolivia,2730129,210,0.4447,0.0018
