feature,mean_abs_shap,mean_shap,pct_shap_positive
GSN_b2_smooth16,0.6464825562439617,0.0011490887349000882,86.0
WorldClim_b14,0.48795061621801034,-0.07610444823188707,72.6
GSN_b2_smooth64,0.3486192998983476,0.020761657017982056,85.6
GSN_b3_smooth16,0.303529326476032,0.0046123828943431915,83.0
GSN_b5_smooth64,0.28802590778334436,0.021563406074544978,62.6
WorldClim_b17,0.27730258687546533,-0.02978522810556179,65.0
HNTL_b1_smooth64,0.2693747687784812,0.002539686410078733,53.400000000000006
dist_wdpa,0.26034170766778236,0.006580956791577532,68.60000000000001
WorldClim_b12,0.2536281313232015,0.0023865140460901193,61.0
dist_powerplant,0.24063088694714416,0.0377957106114117,80.0
deforestation_b1_smooth64,0.23792099635185807,0.004267294153766566,57.199999999999996
GSN_b3_smooth64,0.2215878823983067,0.030452211039039515,78.4
dist_road,0.22081896629607317,-0.07551270223214673,31.0
WorldClim_b7,0.21953117015904858,0.018157468694707888,64.8
elevation_b2,0.20784062754433233,-0.037097169757206096,35.4
WorldClim_b11,0.20769991024133655,0.005772178438554741,46.6
GPW_b1,0.1974256118123235,-0.005020671292482634,45.4
NDVI_b1_smooth64,0.18963608033365945,0.06736042515590156,69.39999999999999
wildfire_b1_smooth64,0.18891269540791197,0.01230299775520221,65.0
landcover_b1,0.16340748686869278,-0.0200116186435577,32.2
