land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,1782742.0,46.1,8825.0,78.9,134200.0,69.5,27356.0,71.8
Shrubland,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Savanna / Grassland,1238559.0,32.0,1489.0,13.3,43041.0,22.3,7173.0,18.8
Wetland,75503.0,2.0,171.0,1.5,4881.0,2.5,922.0,2.4
Agriculture,663483.0,17.2,1.0,0.0,1189.0,0.6,37.0,0.1
Urban,39331.0,1.0,4.0,0.0,195.0,0.1,14.0,0.0
Bare / Other,65184.0,1.7,699.0,6.2,9476.0,4.9,2611.0,6.9
