iso,country,new_designated_km2,sweet_spot_km2,biodiv_priority_km2,alignment_pct
MMR,Myanmar,27607.0,1621.0,38550.0,5.9
THA,Thailand,25626.0,480.0,1670.0,1.9
MYS,Malaysia,22908.0,154.0,1846.0,0.7
IDN,Indonesia,284705.0,416.0,12683.0,0.1
KHM,Cambodia,22870.0,17.0,1161.0,0.1
LAO,Laos,114364.0,119.0,141.0,0.1
VNM,Vietnam,45811.0,36.0,71.0,0.1
BRN,Brunei,9.0,0.0,92.0,0.0
PHL,Philippines,107224.0,46.0,4960.0,0.0
TLS,East Timor,2185.0,0.0,0.0,0.0
