zone,n_pixels,area_km2,GPW_mean,GPW_median,GPW_p75
All unprotected (baseline),4067149,3864908.0,170.856,50.977,118.051
BAU risk zone,11967,11188.0,76.799,9.22,27.905
Top 5% risk,203358,192983.0,87.309,20.031,60.44
Top 1% risk,40672,38113.0,85.312,13.311,30.746
