layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,174528.719,1035811.062,728208.875,23.967,16.849
climate_stabilisation,GSN_b1,climate stabilisation priority,3177.379,65038.398,728208.875,0.436,4.885
