fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Boreal Forests/Taiga,0.0,0.0,0.0,0.0,233494742.0,,,,,,,,,,,,
1,Deserts & Xeric Shrublands,5895851.0,12625.0,5883226.0,0.002141336339741286,195958895.0,0.4040308738877966,0.0016676522152320103,0.0004240306658977577,0.0006106000162826672,0.0011855796874072442,0.0019801980198019802,0.014257425742574258,0.05536633663366337,0.1980215148961553,0.2851490468594201,0.5536634602439356,0.004080408265844426
2,Flooded Grasslands & Savannas,63141.0,0.0,63141.0,0.0,233094748.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2147368816445816e-08
3,Mangroves,3726.0,0.0,3726.0,0.0,233471144.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00730644631077e-07
4,"Mediterranean Forests, Woodlands & Scrub",455758.0,216.0,455542.0,0.0004739357290491884,230566026.0,0.5419021818047595,0.000467748872758504,0.0,0.0,4.388370817334065e-05,0.0,0.0,0.009259259259259259,0.0,0.0,0.09259421791511753,0.005196232022911249
5,Temperate Broadleaf & Mixed Forests,9181073.0,564.0,9180509.0,6.143072819484172e-05,175247184.0,0.7494692188295817,0.0007668736949886407,0.0014922121773227317,0.0007341200253565492,0.00038666517083520765,0.2429078014184397,0.5975177304964538,0.6294326241134752,24.290973282781813,11.950371531135335,6.294328297864383,0.0007567767533419003
6,Temperate Conifer Forests,5103496.0,737.0,5102759.0,0.0001444108117259228,201003218.0,0.3384638875900871,0.00011439335703163425,0.0002939216992593173,0.00014891799321247462,0.0001234449367001797,0.0203527815468114,0.051560379918588875,0.08548168249660787,2.035316440275616,1.031210831326854,0.8548178299452106,0.007720143446062929
7,"Temperate Grasslands, Savannas & Shrublands",15657831.0,363.0,15657468.0,2.3183287646928874e-05,134205160.0,0.5406390198525434,8.941467116569134e-05,0.00016605142484895708,7.1529753184032e-05,5.747922924185535e-05,0.07162534435261708,0.15426997245179064,0.24793388429752067,7.162548615961903,3.085401616604091,2.479339001320191,0.00019602015208991457
8,Tropical & Subtropical Coniferous Forests,15576.0,0.0,15576.0,0.0,233395666.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010720544733242303
9,Tropical & Subtropical Dry Broadleaf Forests,0.0,0.0,0.0,0.0,233494742.0,,,,,,,,,,,,
10,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543.0,0.0,279543.0,0.0,231720737.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3658354374031356e-05
11,Tropical & Subtropical Moist Broadleaf Forests,0.0,0.0,0.0,0.0,233494742.0,,,,,,,,,,,,
MEAN,— MEAN —,,,,,,0.5149010363929536,0.0006212165622352963,0.00047524319346575283,0.0003130335576071446,0.0003594105464715655,0.06737322506753404,0.16352110172188153,0.20549475736010528,6.737371970783097,3.27042660518514,2.054948561457768,0.003589916128050084
STD,— STD —,,,,,,0.1579841750535031,0.0006479735566703419,0.0005897418426913938,0.00033507746300891585,0.0004821041741649113,0.1022946596412271,0.2499963280142199,0.2534632349698385,10.229544294221848,4.999933442706255,2.5346327688823997,0.0031394593325102084
