Metric,Value
ROC AUC,0.9464
PR AUC,0.4701
Precision @ 1%,0.5466
Precision @ 5%,0.1578
Precision @ 10%,0.0812
Baseline Rate,0.009240
Lift @ 1%,59.15
Lift @ 5%,17.07
Lift @ 10%,8.79
