threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,46763,46763.0,24213,24213.0,51.78,57.87,46763,0
5,46763,46763.0,25438,25438.0,54.4,12.16,46763,0
10,46763,46763.0,26475,26475.0,56.62,6.33,46763,0
