BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
Mangroves,2,285627,46,0.0161,0.9579,0.0088,54.35
Tropical & Subtropical Moist Broadleaf Forests,20,10239060,51475,0.5027,0.9911,0.4683,93.15
Tropical & Subtropical Dry Broadleaf Forests,2,1651993,17702,1.0716,0.9981,0.8765,81.8
Temperate Conifer Forests,1,17094,4284,25.0614,0.9997,1.0,3.99
Tropical & Subtropical Coniferous Forests,1,25137,21,0.0835,1.0,0.0837,100.15
