feature,mean_abs_shap,mean_shap,pct_shap_positive
GSN_b3_smooth16,25.124593421691554,-0.3325028014218589,88.0
WorldClim_b8,16.180814541824443,1.526492707828075,89.8
dist_oil_gas,13.5364730764855,3.3409391650024256,92.2
GSN_b3_smooth64,13.454788845109839,0.5377004760288694,87.2
elevation_smooth64,7.684192480099388,-4.298191753500639,17.2
deforestation_b1_smooth64,6.552492161218266,0.37465548723210496,77.2
dist_wdpa,4.756512762305995,-0.5257426375049326,70.6
slope_smooth16,4.571186419178366,-0.268656836024207,78.8
WorldClim_b18,4.03753331812926,-1.6558086417632805,77.2
WorldClim_b9,3.2498420835112194,-0.47661043804239955,64.4
dist_powerplant,2.861150560632788,-0.16091357554814326,67.2
GPW,2.620892703146557,0.409615500917378,63.800000000000004
WorldClim_b15,2.603595223678036,0.367605943512584,54.800000000000004
policy_b3,2.5163048864520063,-0.9016888434009056,50.8
WorldClim_b4,2.394608918602229,-0.8856338235470107,41.6
GPW_smooth64,2.356611702124817,-1.4256850115144175,60.4
slope_smooth64,2.016129665450578,-0.32019972196193863,69.8
HNTL_smooth16,1.711342110567035,-1.4462293230223477,39.0
WorldClim_b2,1.7093432616092972,-0.4848764576918337,82.0
NDVI_smooth64,1.6599000989155384,0.16609925550806498,81.6
