Metric,Value
ROC AUC,0.9466
PR AUC,0.4138
Precision @ 1%,0.4613
Precision @ 5%,0.1091
Precision @ 10%,0.0551
Baseline Rate,0.006002
Lift @ 1%,76.86
Lift @ 5%,18.18
Lift @ 10%,9.18
