threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,7426,7426.0,7401,7401.0,99.66,6.04,7093,333
5,7426,7426.0,7405,7405.0,99.72,1.21,7093,333
10,7426,7426.0,7408,7408.0,99.76,0.6,7093,333
