zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),110299943,43.657,0.81,8.092
Top 10% risk,11030042,47.919,2.894,16.918
Top 5% risk,5515004,48.589,2.646,16.803
Top 1% risk,1103000,40.554,0.912,10.389
