BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
Temperate Broadleaf & Mixed Forests,6,9181073,564,0.0061,0.9607,0.0054,88.65
Deserts & Xeric Shrublands,4,5895851,12625,0.2141,0.9992,0.2141,100.0
"Mediterranean Forests, Woodlands & Scrub",3,455758,216,0.0474,0.9999,0.0474,100.01
Temperate Conifer Forests,6,5103496,737,0.0144,1.0,0.0144,100.0
"Temperate Grasslands, Savannas & Shrublands",9,15657831,363,0.0023,1.0,0.0023,100.0
