feature,mean_abs_shap,mean_shap,pct_shap_positive
economic_value_lag1,0.05994905601409581,-0.04793480008615302,23.200000000000003
dist_wdpa,0.03255689516893523,-0.011954477400786496,25.8
elevation_b2_smooth16,0.03163365023932057,-0.01945737737764523,20.8
elevation_b2_smooth4,0.02827201616550916,-0.017215630085977797,19.0
elevation_b2_smooth64,0.027392061756874128,-0.018567543904377946,22.2
policy_b4,0.026868663292871187,-0.02683160684892055,0.8
WorldClim_b8,0.024453097992020164,-0.01323571860169956,22.0
GPW,0.02378376623283438,-0.011096219937626313,38.0
elevation_b2,0.021306981173342485,-0.010787127346317933,21.0
GPW_smooth16,0.017993281067040484,-0.010595868797622521,18.4
policy_b1,0.014224761504505667,0.01346868502925952,96.39999999999999
WorldClim_b18,0.014181823396005088,-0.009663573475482844,18.6
elevation_b1,0.013943189925208325,-0.00814278132578362,30.599999999999998
elevation_b1_smooth4,0.013649533318734874,-0.00825041929889471,28.000000000000004
deforestation_b1_smooth64,0.013164915724815016,-0.012858109971433797,6.0
HNTL_smooth16,0.012498287750290462,-0.0100751279020607,14.799999999999999
GSN_b5_smooth64,0.012405437511610249,-0.010563056162748392,23.400000000000002
HNTL,0.012293664459390246,-0.01001676343079471,26.8
WorldClim_b10,0.0120240638137335,-0.008894844092516507,13.8
policy_b2,0.011912265504523218,0.008649996789519197,87.2
