zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),142905157,27.046,2.068,7.413
Top 10% risk,14365073,89.22,3.579,15.865
Top 5% risk,7225864,103.602,3.988,18.917
Top 1% risk,1443688,55.369,1.935,14.017
