threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,46763,46763.0,19211,19211.0,41.08,45.92,46763,0
5,46763,46763.0,46763,46763.0,100.0,22.35,46763,0
10,46763,46763.0,46763,46763.0,100.0,11.18,46763,0
