zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),37440050,156.7,47.199,112.391
Top 10% risk,3744005,162.356,38.373,113.797
Top 5% risk,1872005,121.306,25.545,75.612
Top 1% risk,374402,34.673,6.297,18.977
