feature,mean_abs_shap,mean_shap,pct_shap_positive
policy_b2,0.056628986987325436,-0.03424815453876965,41.6
economic_value_lag1,0.03893230549400758,-0.018764151125965432,61.8
policy_b1,0.02736301413320964,-0.006345950339281972,23.400000000000002
policy_b3,0.027186263417726966,-0.006870645158894131,41.8
dist_indigenous,0.026919835127657492,-0.02184757718244221,4.6
GPW_smooth16,0.02526279405757092,-0.01572640554293322,36.199999999999996
GPW,0.023894723265122163,-0.01606903834520729,35.8
WorldClim_b2,0.023820582961706593,-0.015188734754173244,33.6
landcover,0.022205915409686548,-0.011121037023015076,31.6
policy_b4,0.02071292850061639,-0.013932981077607745,17.2
WorldClim_b3,0.018769007829126876,-0.012063396682650244,39.0
WorldClim_b7,0.0161339501890232,-0.01305181284926926,20.8
WorldClim_b19,0.015827693109904704,-0.012099923914239013,17.8
elevation_b2_smooth4,0.014583431830187598,-0.004573248937112223,42.199999999999996
WorldClim_b4,0.014379108477333825,-0.011592545299167638,22.8
WorldClim_b11,0.014199659554887594,-0.008369270715802395,49.0
WorldClim_b17,0.013771230864490313,-0.009911729028875878,20.599999999999998
dist_oil_gas,0.013689696905616576,-0.01235499202153998,11.0
GSN_b5_smooth64,0.013464439856352251,-0.011749219077965401,17.0
WorldClim_b14,0.012780680986406192,-0.008756360018552584,34.4
