Country,n_pixels,n_observed_PAs,ROC_AUC,Precision_at_1pct
Laos,676802,48962,0.9719,0.9814
Philippines,712427,10468,0.9943,0.6794
Myanmar,2144637,5503,0.9995,0.2566
Vietnam,922131,3588,0.9849,0.3213
Unknown,764928,2541,0.9955,0.3249
Thailand,1312564,1317,0.9974,0.0974
Cambodia,372675,1080,0.9805,0.1379
China,31416,999,0.9993,0.9809
Indonesia,4635953,46,1.0,0.001
