threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,59177,59177.0,38468,38468.0,65.0,91.95,46763,12414
5,59177,59177.0,58187,58187.0,98.33,27.82,46763,12414
10,59177,59177.0,58483,58483.0,98.83,13.98,46763,12414
