Metric,Value
ROC AUC,0.9866
PR AUC,0.5713
Precision @ 1%,0.4921
Precision @ 5%,0.1143
Precision @ 10%,0.0575
Recall @ 1%,0.8258
Recall @ 5%,0.9589
Recall @ 10%,0.9653
Baseline Rate,0.005959
Lift @ 1%,82.58
Lift @ 5%,19.18
Lift @ 10%,9.65
Brier Score,0.004457
ECE (Expected Calibration Error),0.009151
MCE (Maximum Calibration Error),0.5089
Brier Score (Uncalibrated),0.003556
Brier Score (Calibrated),0.004457
