EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",3118385,0.228,0.004822,0.003216
Q2,3118636,0.321,0.003772,0.003086
Q3,3118188,0.332,0.003118,0.002245
Q4,3118204,0.362,0.004441,0.003325
"Q5
(highest)",3118354,0.462,0.005181,0.00382
