zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),15591767,13230919.0,3.127,0.0,7.0,29.523,2.23,7.872,2.83,9.94,69.18,94.23
BAU risk zone,60521,54350.0,4.918,0.0,7.0,158.71,6.447,29.409,3.61,22.46,57.56,105.6
Top 5% risk,779589,725589.0,5.027,0.0,7.0,103.199,5.475,24.387,2.83,12.19,48.75,84.11
Top 1% risk,155918,141656.0,5.22,0.0,7.0,156.661,6.154,28.982,3.16,20.24,49.74,95.18
