layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,214733.047,2992096.25,790170.0,27.176,7.177
climate_stabilisation,GSN_b1,climate stabilisation priority,12540.893,227776.672,790170.0,1.587,5.506
