zone,n_pixels,area_km2,GPW_mean,GPW_median,GPW_p75
All unprotected (baseline),15591767,13230919.0,29.523,2.23,7.872
BAU risk zone,60527,54350.0,128.217,4.437,25.835
Top 5% risk,779590,721915.0,114.496,4.727,23.716
Top 1% risk,155918,141962.0,161.65,5.408,26.849
