Country,n_pixels,n_observed_PAs,ROC_AUC,Precision_at_1pct
Chile,2856487,144378,0.953,0.9989
Brazil,19227360,132474,0.7684,0.2418
Argentina,11644617,29012,0.9983,0.2463
Peru,3309268,27165,0.9791,0.5413
Colombia,2909828,26999,0.9551,0.53
Unknown,232946,12904,0.9908,0.9991
Ecuador,600396,3350,0.9461,0.348
Paraguay,1203167,2860,0.9037,0.0877
Uruguay,694443,712,0.9995,0.1025
Bolivia,2730129,210,0.4786,0.0018
