BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
"Mediterranean Forests, Woodlands & Scrub",1,695985,2381,0.3421,0.6493,0.0723
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5,11406833,11878,0.1041,0.8078,0.064
Montane Grasslands & Shrublands,4,1186839,5993,0.505,0.8274,0.246
Tropical & Subtropical Moist Broadleaf Forests,33,17410794,183523,1.0541,0.8658,0.4855
Tropical & Subtropical Dry Broadleaf Forests,5,3394426,19924,0.587,0.9324,0.4341
Temperate Broadleaf & Mixed Forests,2,2830611,125287,4.4261,0.976,0.9989
Flooded Grasslands & Savannas,1,1051506,284,0.027,0.9888,0.0261
"Temperate Grasslands, Savannas & Shrublands",3,8849922,6928,0.0783,0.9989,0.0779
Deserts & Xeric Shrublands,1,563754,1395,0.2474,0.9994,0.2475
