feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_road,0.04806269058227462,-0.02269507845265937,21.2
GPW,0.041602816671214064,-0.021492596293524773,18.8
landcover,0.04004136633535688,-0.017624144720997454,26.8
GPW_smooth16,0.030263111577863808,-0.016341220505629427,15.8
GPW_smooth64,0.029521617235233912,-0.0172120102126018,17.2
GSN_b2_smooth16,0.02814839437841834,-0.018288951349703986,62.4
HNTL_smooth64,0.027769017290286968,-0.013881597456942937,28.4
WorldClim_b14,0.027020663371823676,-0.015506091779117213,27.6
economic_value_lag1,0.026986678992857893,-0.010041134412691196,44.800000000000004
WorldClim_b4,0.02674913212848983,-0.014566402890376851,27.0
GSN_b2,0.02641353155400033,-0.01527148373892591,68.4
dist_indigenous,0.024604490394079043,-0.012996221987643374,14.000000000000002
WorldClim_b11,0.019879616953097687,-0.01093614958098289,35.199999999999996
GSN_b4_smooth64,0.019599366616823398,-0.009007562816327747,46.400000000000006
GSN_b2_smooth64,0.017545592487827957,-0.010720022324434352,48.4
policy_b2,0.016911899693140962,-0.011423479498038982,29.2
WorldClim_b9,0.01639379502676155,-0.009949125911770695,30.599999999999998
policy_b4,0.01563335296100903,-0.009508820392437809,36.0
elevation_b2_smooth64,0.014926578578314023,-0.008103327142649037,14.6
WorldClim_b8,0.014026223796353501,-0.009280749363126483,28.000000000000004
