feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_road,0.04990810996352616,-0.02341556917051787,21.2
GPW,0.04187110636298644,-0.021534164414291956,18.8
landcover,0.03874163183213082,-0.01675297060682198,26.8
GPW_smooth16,0.03425512449952358,-0.018371141721633722,15.6
WorldClim_b14,0.028704051751401376,-0.0161640737264318,26.8
economic_value_lag1,0.02868797403992248,-0.010482163360789231,44.4
GSN_b2_smooth16,0.0286142143157543,-0.018534927113967304,70.0
GPW_smooth64,0.027599143714966946,-0.016231975379288978,17.599999999999998
HNTL_smooth64,0.027147866744680053,-0.013878860807350664,29.2
GSN_b2,0.026783222383877304,-0.015255594542790577,81.6
dist_indigenous,0.024953119571533247,-0.013289289731086281,13.600000000000001
WorldClim_b4,0.02296358323847553,-0.012877563185296509,27.200000000000003
WorldClim_b11,0.02120927025414372,-0.0111633890816323,33.800000000000004
GSN_b4_smooth64,0.018325076105869354,-0.008923973027203493,45.4
GSN_b2_smooth64,0.017123758861599617,-0.01076183519981376,46.2
policy_b2,0.016027799209658508,-0.010895162629421036,28.4
policy_b4,0.01558627477895959,-0.009633569776960898,37.6
WorldClim_b9,0.015095986225243682,-0.009201332940344342,29.2
elevation_b2_smooth64,0.014612238497885741,-0.00811491026550744,14.799999999999999
WorldClim_b17,0.01407951623315539,-0.008868139413384298,37.2
