feature,mean_abs_shap,mean_shap,pct_shap_positive
GSN_b2_smooth16,0.07767393520268144,-0.0410313449680074,50.8
GSN_b2,0.05793693703874453,-0.024798292554823968,48.6
GSN_b2_smooth64,0.04602506472681779,-0.028006328923528858,46.2
WorldClim_b17,0.045417841067556544,-0.025691043982198618,24.2
WorldClim_b15,0.03345336947242678,-0.01886000238339718,23.0
dist_powerplant,0.030909282630533056,-0.024239481179722425,13.0
WorldClim_b4,0.02939979179890346,-0.01654669514396467,20.0
HNTL_b1_smooth64,0.02838651210928443,-0.0014047160930124845,40.6
WorldClim_b12,0.02138059907962032,-0.014444508996744302,25.6
WorldClim_b14,0.02067261999202555,-0.012667143230534632,35.199999999999996
GPW_b1_smooth64,0.02055821832488987,-0.013126301033554607,23.799999999999997
GPW_b1_smooth16,0.020415001043526407,-0.012307567836032804,30.8
GPW_b1,0.01934246820841926,-0.012247674039783097,22.8
WorldClim_b7,0.019105965156753613,-0.012405066810896032,23.799999999999997
landcover_b1,0.018730488381075588,-0.011603140564649157,20.200000000000003
WorldClim_b6,0.017892494562515397,-0.01307012007097241,12.6
WorldClim_b9,0.017391254035464147,-0.013816473279119347,12.8
GSN_b4_smooth64,0.016500014545107577,-0.011872944644853181,15.0
dist_wdpa,0.01568224950267593,-0.012633733355453253,21.4
WorldClim_b13,0.015101880957108535,-0.009749196723494039,19.400000000000002
