Metric,Value
ROC AUC,0.9965
PR AUC,0.1073
Precision @ 1%,0.0389
Precision @ 5%,0.008010
Precision @ 10%,0.004011
Baseline Rate,0.000402
Lift @ 1%,96.81
Lift @ 5%,19.92
Lift @ 10%,9.97
