zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),110299943,43.657,0.81,8.092
Top 10% risk,11030015,44.299,2.55,15.257
Top 5% risk,5515019,43.126,2.245,14.593
Top 1% risk,1103003,35.412,0.816,9.133
