feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_wdpa,0.04026854139396578,-0.01336061932948702,27.6
elevation_b2_smooth16,0.0388489354427829,-0.021747365652338427,26.6
elevation_b2_smooth4,0.03404287603434819,-0.017899088578033722,21.4
economic_value_lag1,0.034003012540917255,-0.008643239055769757,57.99999999999999
elevation_b2_smooth64,0.031649978071502556,-0.020018352605179042,25.0
GPW,0.03142001075577956,-0.016798621750989264,37.0
elevation_b2,0.02903221285080574,-0.013195216634937435,23.200000000000003
WorldClim_b8,0.023794534942850623,-0.016094558074278984,17.8
policy_b4,0.020309625392894354,-0.005332207031496028,57.599999999999994
policy_b1,0.01626074374357275,-0.0027970857724604254,50.2
GPW_smooth16,0.016020376234180747,-0.010682749859251035,17.0
elevation_b1,0.01602008542871362,-0.008169631665643445,30.4
WorldClim_b18,0.015359122142877067,-0.011788135522711416,15.6
GSN_b4_smooth64,0.014598498198023642,-0.008634258327974648,27.800000000000004
GSN_b5_smooth64,0.013437599202154897,-0.01080103120705041,21.0
elevation_b1_smooth16,0.012785978297081274,-0.008730439624253912,19.6
elevation_b1_smooth4,0.012753029658506634,-0.008148816691347026,24.0
WorldClim_b4,0.012425036774742437,-0.00983296654265149,12.8
dist_indigenous,0.012336955383939386,-0.010489492813449422,11.4
GSN_b5_smooth16,0.011997164958544656,-0.008489194689613929,28.799999999999997
