threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,7093,7093.0,7093,7093.0,100.0,5.79,7093,0
5,7093,7093.0,7093,7093.0,100.0,1.16,7093,0
10,7093,7093.0,7093,7093.0,100.0,0.58,7093,0
