Metric,Value
ROC AUC,0.8990
PR AUC,0.2593
Precision @ 1%,0.3672
Precision @ 5%,0.1056
Precision @ 10%,0.0541
Baseline Rate,0.006739
Lift @ 1%,54.49
Lift @ 5%,15.67
Lift @ 10%,8.03
