fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Deserts & Xeric Shrublands,1053035.0,109678.0,943357.0,0.10415418290939997,37689286.0,0.9920982076535619,0.9582113973640265,0.9967711301044634,0.9801903097756928,0.9603620029818714,0.09569831689126351,0.4705410383121501,0.9220536479512755,9.570149774700065,9.410954820972727,9.220580260489934,0.03760684009516927
1,Flooded Grasslands & Savannas,52337.0,1425.0,50912.0,0.027227391711408755,38146266.0,0.7262994351450593,0.1835957731735146,0.47609942638623326,0.16551987767584098,0.0959296770494936,0.17473684210526316,0.303859649122807,0.35228070175438597,17.486046090369328,6.079167605558238,3.5232782510451552,0.041544538674453645
2,Mangroves,757031.0,1457.0,755574.0,0.0019246239585961472,38065898.0,0.9779788662819898,0.22069040323868674,0.11096433289299867,0.035401970885841856,0.018598998718676936,0.5765271105010296,0.9196980096087852,0.9663692518874399,57.655071993355996,18.394227468551644,9.663705284144626,0.0034965853843006716
3,"Mediterranean Forests, Woodlands & Scrub",57566.0,442.0,57124.0,0.007678143348504325,38166361.0,0.6643230048721509,0.0429955022834629,0.08,0.02571230020847811,0.01858929812369701,0.10407239819004525,0.167420814479638,0.2420814479638009,10.41918552036199,3.3487653253421965,2.421066823051453,0.009812142401680062
4,Montane Grasslands & Shrublands,7530283.0,5184.0,7525099.0,0.0006884203422368058,37873333.0,0.4032073105737279,0.0005143781568023466,6.639929882340443e-05,0.00011154963693249122,0.00017396431473995654,0.0009645061728395061,0.008101851851851851,0.025270061728395063,0.09645168039000816,0.16203710159122506,0.25270071795774385,0.002844682298553953
5,Temperate Broadleaf & Mixed Forests,43739.0,889.0,42850.0,0.02032511031345024,38166452.0,0.36954312595406325,0.03218260769829555,0.11212814645308924,0.036139066788655076,0.024239652412531443,0.05511811023622047,0.08886389201349831,0.11923509561304838,5.516730031171733,1.7780502162755731,1.192596351936685,0.026516137440368532
6,Tropical & Subtropical Dry Broadleaf Forests,2582683.0,10328.0,2572355.0,0.003998942185316588,37682744.0,0.7304150354039749,0.196240958038693,0.15569581042360411,0.03740300772840615,0.02021930707637028,0.3893299767621998,0.4676607281177382,0.5056158017041054,38.93424891094744,9.353225426899998,5.056163890193766,0.0045760513053330655
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1128827.0,4184.0,1124643.0,0.003706502413567358,37998115.0,0.8213651761859542,0.12720685466528428,0.09585400425230334,0.03664003118300526,0.022403926223844368,0.258604206500956,0.494263862332696,0.6044455066921606,25.8610392108305,9.885338546897295,6.044492549589763,0.007507286262250576
8,Tropical & Subtropical Moist Broadleaf Forests,12320915.0,62359.0,12258556.0,0.0050612312478415765,35539341.0,0.8386727540501693,0.1616658623319957,0.10903424262837942,0.04405522323856212,0.0289004627093291,0.2154300101027919,0.4352218605173271,0.5710162125755704,21.543027237666408,8.704447807507314,5.710164443020472,0.007725650136528996
MEAN,— MEAN —,,,,,,0.7248781017911834,0.2137004152167513,0.23740149915998832,0.1512414819023794,0.1321574766233949,0.20783127527362324,0.3728479673729435,0.47870752531890914,20.786883383310382,7.457357146621801,4.7871942857144,0.01573665711095986
STD,— STD —,,,,,,0.22112219498836394,0.29010396486473866,0.3141638811541693,0.31428625620898054,0.3117154874375512,0.18099176301782072,0.2731430654309444,0.3290566699599323,18.09827465526559,5.462742861628008,3.2904995315436167,0.01528123438635903
