land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,3463321.0,26.2,28004.0,51.5,292107.0,42.0,69150.0,50.2
Shrubland,794362.0,6.0,1471.0,2.7,15453.0,2.2,3182.0,2.3
Savanna / Grassland,7219770.0,54.6,16012.0,29.5,312042.0,44.8,47123.0,34.2
Wetland,73045.0,0.6,1203.0,2.2,10128.0,1.5,2712.0,2.0
Agriculture,915183.0,6.9,182.0,0.3,6143.0,0.9,582.0,0.4
Urban,78564.0,0.6,452.0,0.8,8480.0,1.2,1496.0,1.1
Bare / Other,686691.0,5.2,7025.0,12.9,51418.0,7.4,13412.0,9.7
