zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),15591767,13230936.0,3.127,0.0,7.0,29.523,2.23,7.872,2.83,9.94,69.18,94.23
BAU risk zone,62476,54349.0,2.99,0.0,4.863,48.714,6.475,25.742,3.16,21.89,46.65,94.12
Top 5% risk,779589,695771.0,3.933,0.0,7.0,66.907,5.73,20.459,2.83,10.41,47.17,81.13
Top 1% risk,155919,137657.0,3.426,0.0,7.0,64.114,7.337,25.742,3.0,16.07,44.01,85.74
