layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,145153.844,2992096.25,790201.688,18.369,4.851
climate_stabilisation,GSN_b1,climate stabilisation priority,8538.562,227776.703,790201.688,1.081,3.749
