model,biome,rank,feature,importance_score,method,n_samples
RF,Tropical & Subtropical Moist Broadleaf Forests,1,WorldClim_b2,0.10045122698140843,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,2,WorldClim_b3,0.0774797258383629,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,3,GPW_smooth16,0.0677803762500762,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,4,GPW_smooth64,0.05739741466627766,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,5,elevation_b2_smooth16,0.05688196638056151,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,6,GSN_b5_smooth64,0.05156700406123275,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,7,WorldClim_b4,0.04380101436758914,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,8,WorldClim_b10,0.04082615543231442,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,9,elevation_b1_smooth16,0.03988398835070513,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,10,GPW,0.03546876335849423,permutation,1000
