model,biome,n_samples,n_positives,positive_rate,neg_pos_ratio,mean_pred_prob,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Mangroves,285627,46,0.00016104920053076216,6208.282608695652,0.010104888118803501,0.9405984413468014,0.05838522704899929,0.009453781512605041,0.0024508087668930747,0.0012604159372592955,0.5869565217391305,0.7608695652173914,0.782608695652174
LGBM,Montane Grasslands & Shrublands,13599,0,0.0,,0.00411631865426898,,,,,,,,
LGBM,Temperate Broadleaf & Mixed Forests,24861,0,0.0,,0.005663090851157904,,,,,,,,
LGBM,Temperate Conifer Forests,17094,4284,0.25061425061425063,2.9901960784313726,0.2612081468105316,0.9966302459052838,0.9887192980194264,1.0,0.9988290398126464,0.9970743124634289,0.03968253968253968,0.19911297852474322,0.39775910364145656
LGBM,Tropical & Subtropical Coniferous Forests,25137,21,0.000835421888053467,1196.0,0.005618828348815441,0.9994634420100259,0.46907849769240556,0.08366533864541832,0.016719745222929936,0.008356545961002786,1.0,1.0,1.0
LGBM,Tropical & Subtropical Dry Broadleaf Forests,1651993,17702,0.010715541772876761,92.32239294994916,0.025933226570487022,0.9736946301173217,0.25308228440725583,0.2633331315454931,0.17399726388939332,0.1019013432284699,0.24573494520393177,0.8118856626369901,0.9509659925432155
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996,0,0.0,,0.00394416693598032,,,,,,,,
LGBM,Tropical & Subtropical Moist Broadleaf Forests,10239060,51475,0.00502731696073663,197.91325886352598,0.013235206715762615,0.9771056530678301,0.6640534415391733,0.41593905654849106,0.09283078720116886,0.04730610036468191,0.8273530840213696,0.9232637202525498,0.9409810587663915
LGBM,Unknown,232893,976,0.004190765716444891,237.61987704918033,0.018931306898593903,0.9612908345460223,0.1354797436873725,0.15850515463917525,0.06303675712813467,0.037184937094765766,0.3780737704918033,0.7520491803278688,0.8872950819672131
LGBM,ALL,12503260,74504,0.005958765953839239,166.81998281971437,0.01523660123348236,0.979847342871895,0.5380265867633958,0.4436544244673364,0.11076311298013478,0.05682198082740021,0.7445372060560507,0.9294131858692151,0.9535863846236444
RF,Mangroves,285627,46,0.00016104920053076216,6208.282608695652,0.006289247423410416,0.9627193259568632,0.03363712722834968,0.009103641456582634,0.002520831874518591,0.0013654505986975703,0.5652173913043478,0.782608695652174,0.8478260869565217
RF,Montane Grasslands & Shrublands,13599,0,0.0,,0.0058910842053592205,,,,,,,,
RF,Temperate Broadleaf & Mixed Forests,24861,0,0.0,,0.0009142705239355564,,,,,,,,
RF,Temperate Conifer Forests,17094,4284,0.25061425061425063,2.9901960784313726,0.33962059020996094,0.988025200972921,0.9470643427392595,1.0,0.9894613583138173,0.9163253364540667,0.03968253968253968,0.1972455648926237,0.36554621848739494
RF,Tropical & Subtropical Coniferous Forests,25137,21,0.000835421888053467,1196.0,0.027324948459863663,0.9992947011580552,0.44510822458105076,0.08366533864541832,0.016719745222929936,0.008356545961002786,1.0,1.0,1.0
RF,Tropical & Subtropical Dry Broadleaf Forests,1651993,17702,0.010715541772876761,92.32239294994916,0.03713272139430046,0.9887634538358906,0.3824671244400663,0.3655790302076397,0.2139493214203562,0.10715561232210849,0.34114789289345837,0.9983052762399729,1.0
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996,0,0.0,,0.004452178720384836,,,,,,,,
RF,Tropical & Subtropical Moist Broadleaf Forests,10239060,51475,0.00502731696073663,197.91325886352598,0.01113936398178339,0.9835761722628453,0.6952578588274599,0.47018263502295143,0.09486417698499668,0.04788232513531516,0.9352501214181641,0.9434871296745994,0.952442933462846
RF,Unknown,232893,976,0.004190765716444891,237.61987704918033,0.02176668308675289,0.9826790266507867,0.25078310013989163,0.2757731958762887,0.07969769838543456,0.04010477049250719,0.6577868852459017,0.9508196721311475,0.9569672131147541
RF,ALL,12503260,74504,0.005958765953839239,166.81998281971437,0.01510951854288578,0.9866338909627372,0.5712737087082701,0.4920660310960394,0.11427579687217573,0.057522598106413844,0.8257811661118866,0.9588881133898851,0.9653441425963707
