model,biome,n_samples,n_positives,positive_rate,neg_pos_ratio,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Mangroves,285627,46,0.00016104920053076216,6208.282608695652,0.9661183083212667,0.1218173446748924,0.009453781512605041,0.0023807856592675584,0.0014004621525103285,0.5869565217391305,0.7391304347826086,0.8695652173913043
LGBM,Montane Grasslands & Shrublands,13599,0,0.0,,,,,,,,,
LGBM,Temperate Broadleaf & Mixed Forests,24861,0,0.0,,,,,,,,,
LGBM,Temperate Conifer Forests,17094,4284,0.25061425061425063,2.9901960784313726,0.999191115426134,0.9969225746753649,1.0,1.0,0.9988297249853716,0.03968253968253968,0.19934640522875818,0.39845938375350143
LGBM,Tropical & Subtropical Coniferous Forests,25137,21,0.000835421888053467,1196.0,1.0,1.0,0.08366533864541832,0.016719745222929936,0.008356545961002786,1.0,1.0,1.0
LGBM,Tropical & Subtropical Dry Broadleaf Forests,1651993,17702,0.010715541772876761,92.32239294994916,0.9985187366855991,0.9093529531585156,0.8570131363884013,0.21344084068814392,0.10710718587884914,0.7997401423567958,0.995932662975935,0.9995480736639928
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996,0,0.0,,,,,,,,,
LGBM,Tropical & Subtropical Moist Broadleaf Forests,10239060,51475,0.00502731696073663,197.91325886352598,0.9924928993663714,0.9126974038209066,0.4677116905947846,0.0957509771404797,0.048808191376942804,0.9303351141330743,0.9523069451189898,0.9708596406022341
LGBM,Unknown,232893,976,0.004190765716444891,237.61987704918033,0.9925442628499723,0.776303641922937,0.36898625429553267,0.08055650979045002,0.040534157756880934,0.8801229508196722,0.9610655737704918,0.9672131147540983
LGBM,ALL,12503260,74504,0.005958765953839239,166.81998281971437,0.9941444717646536,0.9174136172765139,0.5611123552370593,0.11489643500974946,0.058245609545030656,0.9416541393750671,0.9640958874691292,0.9774777193170836
RF,Mangroves,285627,46,0.00016104920053076216,6208.282608695652,0.9576924646217024,0.03484945279976494,0.008753501400560224,0.002520831874518591,0.0014004621525103285,0.5434782608695652,0.782608695652174,0.8695652173913043
RF,Montane Grasslands & Shrublands,13599,0,0.0,,,,,,,,,
RF,Temperate Broadleaf & Mixed Forests,24861,0,0.0,,,,,,,,,
RF,Temperate Conifer Forests,17094,4284,0.25061425061425063,2.9901960784313726,0.986450062720899,0.9391219725107918,1.0,0.9836065573770492,0.892919836161498,0.03968253968253968,0.19607843137254902,0.3562091503267974
RF,Tropical & Subtropical Coniferous Forests,25137,21,0.000835421888053467,1196.0,0.9994350025405926,0.4330979684240242,0.08366533864541832,0.016719745222929936,0.008356545961002786,1.0,1.0,1.0
RF,Tropical & Subtropical Dry Broadleaf Forests,1651993,17702,0.010715541772876761,92.32239294994916,0.9953990197861095,0.6906638393434921,0.6298202070343241,0.21431252194336492,0.10715561232210849,0.5877301999774037,1.0,1.0
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996,0,0.0,,,,,,,,,
RF,Tropical & Subtropical Moist Broadleaf Forests,10239060,51475,0.00502731696073663,197.91325886352598,0.981913775927227,0.7584207946694833,0.47011426897157926,0.09512591976216567,0.048159694346942006,0.9351141330743079,0.9460903351141331,0.9579601748421563
RF,Unknown,232893,976,0.004190765716444891,237.61987704918033,0.9781092278137662,0.29038863275159305,0.29424398625429554,0.07926829268292683,0.04014770921894457,0.701844262295082,0.9456967213114754,0.9579918032786885
RF,ALL,12503260,74504,0.005958765953839239,166.81998281971437,0.9861948112771204,0.7078264248552005,0.5389580267451533,0.11441815974393878,0.05771294846304084,0.90447492752067,0.9600826801245571,0.9685386019542574
