zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),4067149,3864908.0,5.375,1.541,7.0,170.856,50.977,118.051,2.0,5.2,141.43,210.2
BAU risk zone,11967,11188.0,1.084,0.0,0.0,76.799,9.22,27.905,3.61,5.01,186.78,221.18
Top 5% risk,203358,192983.0,1.47,0.0,0.0,87.309,20.031,60.44,3.16,5.02,199.58,239.26
Top 1% risk,40672,38113.0,1.197,0.0,0.0,85.312,13.311,30.746,3.61,5.19,190.8,225.68
