zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),12218241,7201905.0,7.938,7.0,8.094,46.035,0.818,8.331,3.0,6.08,6.71,20.48
BAU risk zone,436,257.0,7.999,7.0,8.935,19.375,2.059,10.828,2.0,5.0,6.71,12.35
Top 5% risk,610913,357712.0,7.369,7.0,8.624,26.264,1.195,8.137,2.83,4.51,5.83,13.48
Top 1% risk,122183,73015.0,5.87,0.0,7.0,32.887,0.264,4.132,3.61,6.54,7.07,16.66
