feature,mean_abs_shap,mean_shap,pct_shap_positive
GSN_b2_smooth16,0.06403323916825976,-0.02757954796886216,53.6
GSN_b2,0.05909487985222046,-0.01876072191560244,53.0
GSN_b2_smooth64,0.04305475436406529,-0.02410548626315065,51.4
WorldClim_b17,0.03854976117604262,-0.024232871182919464,17.599999999999998
HNTL_b1_smooth64,0.03592300570642214,0.005080010516671018,57.599999999999994
WorldClim_b15,0.03441149789896006,-0.019628436065607865,27.6
dist_powerplant,0.030983062049679117,-0.023852591693786816,15.0
WorldClim_b4,0.030258233874827838,-0.017451616285056416,26.200000000000003
WorldClim_b14,0.026138449293224186,-0.015071639325771801,34.8
GPW_b1_smooth64,0.02286333681008083,-0.013284121455082716,29.4
WorldClim_b7,0.02259179659980533,-0.016558708851917927,17.8
GPW_b1_smooth16,0.020958013866788333,-0.013528576573020808,28.599999999999998
WorldClim_b12,0.02093885156484114,-0.013375600778317677,24.8
landcover_b1,0.01958153737536185,-0.010928998967148119,17.8
GPW_b1,0.01941623099013839,-0.01491477443884537,17.8
WorldClim_b9,0.019263497714638318,-0.013866005584988454,16.0
GSN_b4_smooth64,0.0184347096347119,-0.010853100259994858,17.4
GSN_b5_smooth64,0.017496233728503754,-0.011368893133140568,32.0
WorldClim_b6,0.01635377420284152,-0.012266147078983599,10.8
GSN_b5,0.015567316083397002,-0.0066534535700848866,48.199999999999996
