Metric,Value
ROC AUC,0.9308
PR AUC,0.4353
Precision @ 1%,0.4667
Precision @ 5%,0.1584
Precision @ 10%,0.0807
Baseline Rate,0.009240
Lift @ 1%,50.51
Lift @ 5%,17.14
Lift @ 10%,8.73
