Metric,Value
ROC AUC,0.9277
PR AUC,0.6349
Precision @ 1%,0.5383
Precision @ 5%,0.1206
Precision @ 10%,0.0638
Baseline Rate,0.007969
Lift @ 1%,67.56
Lift @ 5%,15.13
Lift @ 10%,8.01
Brier Score,0.004790
ECE (Expected Calibration Error),0.0126
MCE (Maximum Calibration Error),0.4452
Brier Score (Uncalibrated),0.004785
Brier Score (Calibrated),0.004790
Future Capture Rate (%),17.01
Combined Recall (%),68.00
