land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,1068087.0,14.8,12.0,4.7,107292.0,31.1,18485.0,26.3
Shrubland,431691.0,6.0,4.0,1.7,10428.0,3.0,6291.0,9.0
Savanna / Grassland,3852557.0,53.5,137.0,53.3,161383.0,46.8,28366.0,40.4
Wetland,36422.0,0.5,13.0,5.1,3663.0,1.1,1393.0,2.0
Agriculture,1488125.0,20.7,37.0,14.5,41624.0,12.1,8185.0,11.7
Urban,146612.0,2.0,9.0,3.4,7740.0,2.2,2008.0,2.9
Bare / Other,178410.0,2.5,44.0,17.2,12713.0,3.7,5457.0,7.8
