layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,23846.18,59454.012,1740173.5,1.37,40.109
climate_stabilisation,GSN_b1,climate stabilisation priority,204684.516,617569.312,1740173.5,11.762,33.144
