EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",2449714,0.183,0.000108,0.0
Q2,2458790,0.29,6.4e-05,0.0
Q3,2422442,0.331,5.7e-05,0.0
Q4,2443648,0.364,8.7e-05,0.0
"Q5
(highest)",2443647,0.516,9.7e-05,0.0
