feature,mean_abs_shap,mean_shap,pct_shap_positive
GSN_b2_smooth16,0.5876119200108009,0.02385760784572245,81.6
policy_b4,0.3817446097238415,-0.008291597967417434,63.0
WorldClim_b14,0.2752972063820631,-0.012479311959733043,77.8
GSN_b3_smooth16,0.25762804479708085,-0.0017639103797491668,79.2
dist_indigenous,0.24351076709848038,-0.01805939258881827,47.0
WDPA,0.23542045997687008,0.016896309401957948,98.6
dist_wdpa,0.22955347441475354,0.005210531563311593,69.8
GSN_b2_smooth64,0.22290016427034343,0.05074557597894929,85.6
economic_value_lag1,0.2049950183731594,-0.011964255719357322,58.599999999999994
policy_b2,0.20328348112053338,-0.010257805650663821,60.0
WorldClim_b17,0.1961723200085184,-0.008298880489887825,72.2
WorldClim_b12,0.18745288848293062,0.0007810879423898831,62.0
elevation_b2_smooth16,0.1794459120700104,-0.004533154928387572,37.6
GSN_b3_smooth64,0.17084095364442708,0.013169323228193957,73.2
HNTL_smooth64,0.15416206807711885,-0.03835213500266953,34.0
dist_road,0.14969772179681914,-0.05047190716503434,27.800000000000004
GPW,0.148341993041983,-0.003653968136655418,36.4
policy_b3,0.14469981012049896,-0.009538489094019878,50.6
WorldClim_b13,0.14278192975822113,0.02233878677899341,72.0
GSN_b2,0.11895185326986814,-0.03722764342446002,66.4
