threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,223638,223638.0,134936,134936.0,60.34,84.68,164393,59245
5,223638,223638.0,188619,188619.0,84.34,23.67,164393,59245
10,223638,223638.0,197315,197315.0,88.23,12.38,164393,59245
