zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),142905157,27.046,2.068,7.413
Top 10% risk,14290517,83.268,3.665,17.891
Top 5% risk,7145258,83.248,3.298,18.329
Top 1% risk,1429054,16.441,0.522,7.281
