Country,n_pixels,n_observed_PAs,ROC_AUC,Precision_at_1pct
Chile,2856487,144378,0.9574,0.9749
Brazil,19227360,132474,0.6632,0.2085
Argentina,11644617,29012,0.9957,0.2462
Peru,3309268,27165,0.9836,0.5406
Colombia,2909828,26999,0.9426,0.5954
Unknown,232946,12904,0.9941,0.9837
Ecuador,600396,3350,0.9508,0.2839
Paraguay,1203167,2860,0.8997,0.1741
Uruguay,694443,712,0.9994,0.1021
Bolivia,2730129,210,0.6537,0.0018
