Metric,Value
ROC AUC,0.8967
PR AUC,0.6450
Precision @ 1%,0.5323
Precision @ 5%,0.1159
Precision @ 10%,0.0602
Baseline Rate,0.007969
Lift @ 1%,66.81
Lift @ 5%,14.54
Lift @ 10%,7.56
Brier Score,0.004241
ECE (Expected Calibration Error),0.0107
MCE (Maximum Calibration Error),0.2766
