feature,mean_abs_shap,mean_shap,pct_shap_positive
dist_road,0.11273520020142923,-0.055459178078565756,19.2
HNTL_b1_smooth64,0.06506688232116338,-0.05381114980168454,11.799999999999999
landcover_b1,0.05688619885949113,-0.02223452954874033,23.799999999999997
GPW_b1,0.05168988654865851,-0.03249625039480475,13.200000000000001
GSN_b2_smooth16,0.03576893690160992,-0.02357876749026794,51.6
WorldClim_b11,0.03486107508223302,-0.017202164935595808,27.400000000000002
GPW_b1_smooth16,0.031440473594337486,-0.018811942685129788,13.200000000000001
WorldClim_b17,0.026376763811086057,-0.013981980889207792,39.4
GSN_b2,0.025900490856107884,-0.015685138519179916,39.2
GPW_b1_smooth64,0.020048814828657523,-0.012389517976919761,18.6
WorldClim_b4,0.0196489387783685,-0.011260550513519707,25.8
WorldClim_b14,0.019128689578064902,-0.012014693939411642,38.800000000000004
elevation_b2,0.019057030570284215,-0.005741914667691316,13.4
GSN_b2_smooth64,0.017535923972530888,-0.010931627297073363,37.6
dist_wdpa,0.015863152369225024,-0.009352855400943586,15.8
GSN_b4_smooth64,0.015589894555377837,-0.009833893200664114,25.0
deforestation_b1_smooth64,0.014800748735015088,-0.009845747312474569,14.2
WorldClim_b13,0.01429228518665128,-0.006849548101354188,14.2
WorldClim_b12,0.012828382647089291,-0.00839191635886966,28.999999999999996
WorldClim_b7,0.012026187759925849,-0.007729743340859346,28.599999999999998
